sku,title,shopify,amazon,etsy,google,notes
309_TOIL_WALN_,Rolled Towel Holder from Wood,active,B0D87QFC2N,,yes,etsy: no connector
365_RUST_ASH_,Rusted Floating Nightstand,active,B0DVLWS93B,,yes,etsy: no connector
306_ELLI_SMAL_,"Rustic Metal Shelf for Wall, Industrial Design Ellipse",active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
100_SHEL_SMAL_,Rustic metal shelves (set of 3),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
79_SHEL__,Rustic metal wall hanging shelf,active,B098P9RTQM,,yes,etsy: no connector
,Sculptural Wave Shelf - elika,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
005_SERV_BLACK_,Serving tray for breakfast (dark and light),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
223_WOOD_1 WA_,Set of 10 wood clothes hangers,active,B0851JWTPC,,yes,etsy: no connector
223_WOOD_1 WA_,Set of 4 clothes rack,active,B09J92HC2J,,yes,etsy: no connector
,Shoe Rack Curved CAVALLO,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
65_SHEL_RED_,"Small Metal Wall hanging shelf, Plant Shelf, Shelf for Decors",active,B0FRMXRB96,,yes,etsy: no connector
155_PHON_1WAL_,Smartphone wooden stand,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
371_SNAC_WALN_,Snack Table - timoni,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
56_SOFA_PH1 _,Sofa arm tray (dark brown),draft,B07D8T3V4V,,no,draft; etsy: no connector
56_SOFA_PH1 _,Sofa arm tray (grey),draft,B07D8T3V4V,,no,draft; etsy: no connector
56_SOFA_PH1 _,Sofa arm tray (light),draft,B07D8T3V4V,,no,draft; etsy: no connector
56_SOFA_FR2 _,Sofa arm tray (natural),draft,B07D8T3V4V,,no,draft; etsy: no connector
56_SOFA_PH10_,Sofa arm tray (New grey),active,B07D8T3V4V,,yes,etsy: no connector
56_SOFA_PH6 _,Sofa arm tray (Red),draft,B07D8T3V4V,,no,draft; etsy: no connector
56_SOFA_PH1 _,Sofa arm tray (yellow),draft,B07D8T3V4V,,no,draft; etsy: no connector
56_SOFA_PH B_,Sofa arm tray bright colors,draft,B07D8T3V4V,,no,draft; etsy: no connector
56_SOFA_WALN_,Sofa arm tray exotic colors,draft,B07D8T3V4V,,no,draft; etsy: no connector
,Speaker Shelf - Brass Collection,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
91_SPIC_1_,Spice rack,active,B0929DJFHB,,yes,etsy: no connector
302_HAND_S_WALN_,Tabletop Toilet Paper Holder,active,B07T2D1T65,,yes,etsy: no connector
378_PLAN_WENG_,Tall Plant Stand WAVE,active,B0H5QH44LR,,yes,etsy: no connector
114_PIKL__,Toddler climbing bars frame  (Square gym),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
270_TP H_WALN_,Toilet Paper Holder -  CLOUD,active,B0DJ373F4H,,yes,etsy: no connector
287_TOWE_WALN_,Toilet Paper Holder - Bridge,active,B07T2D1T65,,yes,etsy: no connector
49_TP H__,Toilet Paper Holder - DROP,active,B07T2D1T65,,yes,etsy: no connector
284_TP M_ASH_,Toilet Paper Holder - MINI SMILE,active,B07P8214FS,,yes,etsy: no connector
283_TP S_ASH_,Toilet Paper Holder - SMILE,active,B07T2D1T65,,yes,etsy: no connector
60_TP H_WOOD_,Toilet paper holder - WAVE,active,B07T2D1T65,,yes,etsy: no connector
64_TP H_WOOD_,Toilet Paper Holder BRICKS,active,B07T2D1T65,,yes,etsy: no connector
